Simulation 25,
Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
59,7,12,0,2,3,6,0,177,0,0.3611111,
58,15,78,0,1,6,6,177,567,1,1.124067,
57,0,2,0,0,0,6,567,617,0,0.6126418,
56,11,31,0,2,5,6,617,974,0,0.2508905,
55,5,6,0,0,2,6,974,1036,0,0.6790004,
54,10,12,0,2,4,6,1036,1334,0,0.3883058,
53,2,6,0,0,1,6,1334,1384,0,0.4819364,
52,8,28,0,0,3,6,1384,1622,0,0.5078974,
51,15,16,0,1,6,6,1622,1780,1,1.588506,
50,15,24,0,6,6,6,1780,2588,1,1.372553,
49,15,25,0,3,6,6,2588,2785,1,1.495607,
48,4,6,0,0,1,6,2785,2820,0,0.6035264,
47,15,19,0,0,6,6,2820,3095,1,1.847207,
46,15,20,1,4,6,6,3095,3413,1,1.604551,
45,6,12,0,3,3,6,3413,3620,0,0.3142726,
44,6,6,0,0,2,6,3620,3674,0,0.7663461,
43,15,23,0,1,6,6,3674,4425,1,1.457257,
42,15,22,1,3,6,6,4425,5008,1,1.59352,
41,15,18,0,0,6,6,5008,5307,1,1.891234,
40,15,42,0,1,6,6,5307,5768,1,1.416225,
39,15,45,1,8,6,6,5768,7267,1,1.385839,
38,15,19,0,2,6,6,7267,7537,1,1.575123,
37,15,25,0,2,6,6,7537,7896,1,1.509085,
36,12,31,0,1,5,6,7896,8438,0,0.3806793,
