Simulation 30,
Iteration,Attack_Success,Attack_Total,Flee_Success,Flee_Total,Predators_Killed,Predators_Total,Previous_Survival_Time,Survival_Time,Success,Score,
64,2,5,0,11,0,6,0,95,0,0.4666667,
63,0,12,6,11,0,6,95,173,0,0.2828867,
62,0,3,0,5,0,6,173,221,0,0.2609352,
61,1,7,3,12,0,6,221,338,0,0.3035714,
60,2,7,1,9,0,6,338,437,0,0.3601274,
59,0,5,0,3,0,6,437,477,0,0.3053809,
58,0,4,2,6,0,6,477,546,0,0.3882784,
57,0,6,0,3,0,6,546,571,0,0.3187391,
56,1,9,2,9,0,6,571,668,0,0.3799068,
55,2,17,9,24,1,6,668,837,0,0.1753969,
54,2,24,1,10,0,6,837,975,0,0.3386154,
53,0,5,0,8,0,6,975,1042,0,0.3119002,
52,0,7,7,12,0,6,1042,1130,0,0.4866765,
51,2,8,2,11,0,6,1130,1257,0,0.4290518,
50,1,8,6,12,0,6,1257,1333,0,0.510784,
49,3,11,2,8,0,6,1333,1446,0,0.4679104,
48,2,9,4,9,0,6,1446,1516,0,0.5299032,
47,0,7,1,4,0,6,1516,1575,0,0.4010582,
46,1,14,4,10,0,6,1575,1657,0,0.466204,
45,0,4,1,3,0,6,1657,1689,0,0.436024,
44,0,26,3,18,0,6,1689,1914,0,0.3431731,
43,4,13,6,13,1,6,1914,2027,0,0.2945745,
42,1,9,0,6,0,6,2027,2110,0,0.3558013,
41,2,6,2,3,0,6,2110,2160,0,0.6512346,
40,1,7,3,7,0,6,2160,2233,0,0.5066854,
39,1,9,5,14,0,6,2233,2288,0,0.4776531,
38,0,5,3,6,0,6,2288,2331,0,0.4907765,
37,2,9,4,10,0,6,2331,2413,0,0.522365,
36,0,4,3,8,0,6,2413,2495,0,0.4432699,
35,0,2,2,6,0,6,2495,2542,0,0.436227,
34,1,2,1,3,0,6,2542,2599,0,0.5977085,
33,1,8,4,7,0,6,2599,2665,0,0.5514719,
32,1,3,1,4,0,6,2665,2713,0,0.51844,
31,1,5,1,7,0,6,2713,2780,0,0.4368311,
30,1,6,3,10,0,6,2780,2890,0,0.4702807,
29,0,4,0,3,0,6,2890,2913,0,0.3307014,
28,2,22,9,24,0,6,2913,3130,0,0.4547597,
27,4,31,9,30,1,6,3130,3388,0,0.1834453,
26,0,3,1,3,0,6,3388,3427,0,0.4393866,
25,2,6,4,10,0,6,3427,3517,0,0.5629925,
24,1,5,1,6,0,6,3517,3574,0,0.4482901,
23,1,5,7,16,0,6,3574,3651,0,0.5343217,
22,0,0,0,5,0,6,3651,3713,0,0.6555346,
21,4,15,7,16,2,6,3713,3859,0,0.3327492,
20,1,10,3,8,0,6,3859,3934,0,0.4822933,
19,1,4,3,5,0,6,3934,3992,0,0.6077071,
18,1,8,3,8,0,6,3992,4036,0,0.4945491,
17,0,20,4,9,0,6,4036,4149,0,0.4683681,
16,1,10,2,13,0,6,4149,4272,0,0.4059151,
15,2,16,4,13,1,6,4272,4398,0,0.1940626,
14,0,7,1,6,0,6,4398,4462,0,0.3833109,
13,0,6,1,4,0,6,4462,4538,0,0.4096886,
12,0,6,3,6,0,6,4538,4621,0,0.4910192,
11,2,22,10,23,1,6,4621,4812,0,0.2216257,
10,0,1,1,4,0,6,4812,4854,0,0.4130614,
9,2,8,5,10,0,6,4854,4946,0,0.5724828,
8,2,12,4,13,1,6,4946,5084,0,0.2078752,
7,2,6,3,7,0,6,5084,5131,0,0.5819219,
6,2,6,2,6,0,6,5131,5189,0,0.5493459,
5,2,8,5,13,0,6,5189,5272,0,0.5362936,
4,0,10,4,10,0,6,5272,5378,0,0.4574687,
3,0,5,1,7,0,6,5378,5454,0,0.3756439,
2,2,8,4,14,0,6,5454,5548,0,0.5032315,
1,1,25,7,17,0,6,5548,5730,0,0.4685509,
0,4,33,13,33,2,6,5730,6001,0,0.270056,
